视频标题,视频作者,网页链接,主题,播放量,点赞量,硬币量,收藏数
被偶像拥抱是什么体验？？,J神呢,https://b23.tv/BV1pg411s7Vo,出行,4462490,480773,27858,42924
120万人决定离开西海固,遇真纪事,https://b23.tv/BV12P4y1C7jm,三农,802889,46950,18159,8151
"你画我穿2.0, 但搭配好的衣服送你",鹦鹉梨,https://b23.tv/BV1Z3411m7HD,穿搭,1859211,145145,86508,40198
一个迷茫的当代青年，我想去思考…,狂阿弥,https://b23.tv/BV1jd4y177m9,职业职场,689130,60336,57686,27841
【官方MV】《One Last Chicken》 再见了，所有的只因战士,汤姆的混乱空间,https://b23.tv/BV1Mx4y137fa,搞笑,12603855,1021800,661340,418538
【半佛】2023年了，谁还集五福啊？,硬核的半佛仙人,https://b23.tv/BV1Rs4y147Qf,财经商业,5746034,158865,19856,9507
《桌子有后坐 打枪更快乐2》,马鹿blyat,https://b23.tv/BV1LY4y1Z7T5,极客DIY,11664649,949508,199458,137593
自制兔子烟雾加湿器,手工耿,https://b23.tv/BV1JR4y1e7BS,极客DIY,5236084,489535,183134,38374
兄弟…你投屏忘关了,逗比的雀巢,https://b23.tv/BV1jx4y137FY,搞笑,8819237,857162,385284,151660
无敌了！这一期直接超神！！！,在下哲别,https://b23.tv/BV1WG4y1C7mT,搞笑,5398788,452419,312532,90735
都什么年代，谁还当传统齐天大圣？！！,马刀刻森,https://b23.tv/BV1k14y1T745,短片·手书·配音,3662372,245268,104853,78449
B站春节特别企划《第3286个站》| 从世界，奔向家,哔哩哔哩弹幕网,https://b23.tv/BV1uD4y1W7Wf,日常,1243957,41710,11952,12099
红 包 拿 稳,特效小哥studio,https://b23.tv/BV1E8411A7ec,手机游戏,1607916,126121,52042,22405
《原神》PV短片——「诸苦无隙」,原神,https://b23.tv/BV1R84y187Y5,手机游戏,9181009,908313,568864,287524
⚡ 舞 动 春 晚 ⚡  2.0,街头寻梦,https://b23.tv/BV153411d7sB,搞笑,2373075,226105,56849,42756
考试，但没及格,杜海皇,https://b23.tv/BV1vP4y1k7V7,搞笑,10478004,558727,193357,176914
深夜小桌游,高斯Goh,https://b23.tv/BV1FW4y137Tx,桌游棋牌,7553185,438327,150472,103551
当《神女劈观》遇上《木兰诗》 尚雯婕杨扬上演跨界合唱,央视新闻,https://b23.tv/BV1oY4y1f7qf,音乐现场,3658063,419044,164007,104151
怪盗积德,老番茄,https://b23.tv/BV1S8411A7Pg,单机游戏,6331547,608096,86501,73426
【卢克文工作室】“荒漠屠夫”惠然翻车事件，揭露经济链潜规则！,卢克文工作室,https://b23.tv/BV1y84y1h7p5,社会,5826166,282409,39053,36191
这句上联！居然300年无人能对？！你那么好看，要不来试试？,啊Sai在纽约,https://b23.tv/BV1z14y1M74m,人文历史,4290677,575441,93779,160692
“我玩了400个小时不知火舞，但我从没见过她长什么样”,单机肥肥王日君,https://b23.tv/BV1DY411y7Fj,单机游戏,5223988,417570,294078,96089
寄生虫-自闭测试,花少北丶,https://b23.tv/BV1224y1a7ks,搞笑,3341148,378468,290154,102317
【奇谭】“生活把我搓成桃，大圣送我三根毛”,司墨尧smile,https://b23.tv/BV1Ne4y1F7kV,原创音乐,3204621,264078,77004,133214
《兔哥惊魂记》：游戏科学兔年贺岁小短片,黑神话之悟空,https://b23.tv/BV1t3411Z7jg,单机游戏,3187145,263904,132172,31228
黄沙无绿肥，老树独饮酒。清枝衬明月，惆怅落满杯。复原白居易诗中的黄金角狮,李意纯,https://b23.tv/BV12G4y1k7S4,手工,3217666,550628,376313,54348
“小英雄大肚腩”,大果叮w,https://b23.tv/BV1NM411c7kM,综合,6151440,1026288,205035,276746
一秒立4颗骰子？高速慢放20倍，五分钟速通花式骰子！,亿点点不一样,https://b23.tv/BV1cY411R7gz,野生技能协会,5969046,530413,91531,232477
1999年的中国发生了什么？【激荡四十年·1999】,大象放映室,https://b23.tv/BV1Gv4y1C7VB,影视杂谈,2722951,204438,228073,72205
《流浪地球2》定义主题曲《人是_》MV！纵使光亮微茫，依然奋力前行！命运打不败活着！,卡布叻周深,https://b23.tv/BV1bY41197mq,MV,4291209,295202,223231,128891
两个月，自己设计+拼装，自然选择号，前进四！——《三体》,凹凸赛克,https://b23.tv/BV1m24y1Y7rv,极客DIY,5699233,434413,244665,149677
一盒榨菜卖800块？原来砖家说我们吃不起的榨菜是这个？,南翔不爱吃饭,https://b23.tv/BV1Sv4y1y7K7,美食制作,10987299,480352,165493,169514
自己能做到的事尽量不去麻烦别人,鹏远LPY,https://b23.tv/BV1qG4y1w7my,演奏,6510856,944521,114339,97993
竟然这么巧妙！我熬了一个通宵才研究明白，可达鸭吸管的原理,大宽物理,https://b23.tv/BV1cY411R7vp,科学科普,5436219,356200,48079,92160
